Legacy_Name,glyph_name,ps_name,USV,Dir,DesignerOrder,fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / comment,bcp47tags,OTLang,Feat,MarkGroup
.notdef,.notdef,.notdef,,,0,*,,,,,,,,,,,,,,,
.null,.null,.null,,,1,*,,,,,,,,,,,,,,,
nonmarkingreturn,nonmarkingreturn,nonmarkingreturn,,,2,*,,,,,,,,,,,,,,,
CR,CR,,,,3,-,,,,,,,,,,,,,,,
space,space,space,0020,,4,*,,,,,,,,,,,,,,,
,space-ar,space.ar,,,5,MR,,,,,,,,,,,,,,,
tab,tab,tab,,,6,*,,,,,,,,,,,,,,,
exclam,exclam,exclam,0021,,7,*,,,,,,,,,,,,,,,
exclam.arab,exclam.latn,exclam.latn,,,8,L,,,,,,,,,,,,,,,
quotedbl,quotedbl,quotedbl,0022,,9,*,,,,,,,,,,,,,,,
numbersign,numbersign,numbersign,0023,,10,*,,,,,,,,,,,,,,,
dollar,dollar,dollar,0024,,11,*,,,,,,,,,,,,,,,
percent,percent,percent,0025,,12,*,,,,,,,,,,,,,,,
ampersand,ampersand,ampersand,0026,,13,*,,,,,,,,,,,,,,,
quotesingle,quotesingle,quotesingle,0027,,14,*,,,,,,,,,,,,,,,
parenleft,parenleft,parenleft,0028,,15,*,,,,,,,,,parenright,,,,,,
parenleft.arab,parenleft.latn,parenleft.latn,,,16,L,,,,,,,,,parenright.arab,,,,,,
parenright,parenright,parenright,0029,,17,*,,,,,,,,,parenleft,,,,,,
parenright.arab,parenright.latn,parenright.latn,,,18,L,,,,,,,,,parenleft.arab,,,,,,
asterisk,asterisk,asterisk,002A,,19,*,,,,,,,,,,,,,,,
asterisk.arab,asterisk.latn,asterisk.latn,,,20,L,,,,,,,,,,,,,,,
plus,plus,plus,002B,,21,*,,,,,,,,,,,,,,,
comma,comma,comma,002C,,22,*,,,,,,,,,,,,,,,
hyphen,hyphentwo,uni2010,2010,,23,*,,,,,,,,,,,,,,,
hyphenminus,hyphen,hyphen,002D,,24,*,,,,,,,,,,,,,,,
period,period,period,002E,,25,*,,,,,,,,,,,,,,,
period.test,period.test,period.test,,,26,SHL,,,,,,,,,,,,,,,
slash,slash,slash,002F,,27,*,,,,,,,,,,,,,,,
zero,zero,zero,0030,,28,*,,,,,,,,,,,,,,,
zeroMedium,zero.medium,zero.medium,,EN,29,SHL,,,,,,,,,,,,,,,
zeroSmall,zero.small,zero.small,,EN,30,*,,,,,,,,,,,,,,,
zero,zero.pnum,zero.pnum,,,31,LMR,,,,,,,,,,,,,,pnum,
one,one,one,0031,,32,*,,,,,,,,,,,,,,,
oneMedium,one.medium,one.medium,,EN,33,SHL,,,,,,,,,,,,,,,
oneSmall,one.small,one.small,,EN,34,*,,,,,,,,,,,,,,,
,one.numr,one.numr,,,35,L,,,,,,,,,,,,,,,
,one.pnum,one.pnum,,EN,36,LMR,,,,,,,,,,,,,,pnum,
two,two,two,0032,,37,*,,,,,,,,,,,,,,,
twoMedium,two.medium,two.medium,,EN,38,SHL,,,,,,,,,,,,,,,
twoSmall,two.small,two.small,,EN,39,*,,,,,,,,,,,,,,,
,two.dnom,two.dnom,,,40,L,,,,,,,,,,,,,,,
,two.pnum,two.pnum,,,41,LMR,,,,,,,,,,,,,,pnum,
three,three,three,0033,,42,*,,,,,,,,,,,,,,,
threeMedium,three.medium,three.medium,,EN,43,SHL,,,,,,,,,,,,,,,
threeSmall,three.small,three.small,,EN,44,*,,,,,,,,,,,,,,,
,three.numr,three.numr,,,45,L,,,,,,,,,,,,,,,
,three.pnum,three.pnum,,,46,LMR,,,,,,,,,,,,,,pnum,
four,four,four,0034,,47,*,,,,,,,,,,,,,,,
fourMedium,four.medium,four.medium,,EN,48,SHL,,,,,,,,,,,,,,,
fourSmall,four.small,four.small,,EN,49,*,,,,,,,,,,,,,,,
,four.dnom,four.dnom,,,50,L,,,,,,,,,,,,,,,
,four.pnum,four.pnum,,,51,LMR,,,,,,,,,,,,,,pnum,
five,five,five,0035,,52,*,,,,,,,,,,,,,,,
fiveMedium,five.medium,five.medium,,EN,53,SHL,,,,,,,,,,,,,,,
fiveSmall,five.small,five.small,,EN,54,*,,,,,,,,,,,,,,,
,five.pnum,five.pnum,,,55,LMR,,,,,,,,,,,,,,pnum,
six,six,six,0036,,56,*,,,,,,,,,,,,,,,
sixMedium,six.medium,six.medium,,EN,57,SHL,,,,,,,,,,,,,,,
sixSmall,six.small,six.small,,EN,58,*,,,,,,,,,,,,,,,
,six.pnum,six.pnum,,,59,LMR,,,,,,,,,,,,,,pnum,
seven,seven,seven,0037,,60,*,,,,,,,,,,,,,,,
sevenMedium,seven.medium,seven.medium,,EN,61,SHL,,,,,,,,,,,,,,,
sevenSmall,seven.small,seven.small,,EN,62,*,,,,,,,,,,,,,,,
,seven.pnum,seven.pnum,,,63,LMR,,,,,,,,,,,,,,pnum,
eight,eight,eight,0038,,64,*,,,,,,,,,,,,,,,
eightMedium,eight.medium,eight.medium,,EN,65,SHL,,,,,,,,,,,,,,,
eightSmall,eight.small,eight.small,,EN,66,*,,,,,,,,,,,,,,,
,eight.pnum,eight.pnum,,,67,LMR,,,,,,,,,,,,,,pnum,
nine,nine,nine,0039,,68,*,,,,,,,,,,,,,,,
nineMedium,nine.medium,nine.medium,,EN,69,SHL,,,,,,,,,,,,,,,
nineSmall,nine.small,nine.small,,EN,70,*,,,,,,,,,,,,,,,
,nine.pnum,nine.pnum,,,71,LMR,,,,,,,,,,,,,,pnum,
colon,colon,colon,003A,,72,*,,,,,,,,,,,,,,,
colon.arab,colon.latn,colon.latn,,,73,L,,,,,,,,,,,,,,,
semicolon,semicolon,semicolon,003B,,74,*,,,,,,,,,,,,,,,
less,less,less,003C,,75,*,,,,,,,,,,,,,,,
equal,equal,equal,003D,,76,*,,,,,,,,,,,,,,,
greater,greater,greater,003E,,77,*,,,,,,,,,,,,,,,
question,question,question,003F,,78,*,,,,,,,,,,,,,,,
at,at,at,0040,,79,*,,,,,,,,,,,,,,,
A,A,A,0041,,80,*,,,,,,,,,,,,,,,
B,B,B,0042,,81,*,,,,,,,,,,,,,,,
