Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
.notdef	.notdef	.notdef			0	*															
.null	.null	.null			1	*															
nonmarkingreturn	nonmarkingreturn	nonmarkingreturn			2	*															
CR	CR				2.1	-															
space	space	space	0020		3	*															
tab	tab	tab			4	*															
exclam	exclam	exclam	0021		5	*															
exclam.arab	exclam.arab	exclam.arab			6	L															
quotedbl	quotedbl	quotedbl	0022		7	*															
numbersign	numbersign	numbersign	0023		8	*															
dollar	dollar	dollar	0024		9	*															
percent	percent	percent	0025		10	*															
ampersand	ampersand	ampersand	0026		11	*															
quotesingle	quotesingle	quotesingle	0027		12	*															
parenleft	parenleft	parenleft	0028		13	*									parenright						
parenleft.arab	parenleft.arab	parenleft.arab			14	L									parenright.arab						
parenright	parenright	parenright	0029		15	*									parenleft						
parenright.arab	parenright.arab	parenright.arab			16	L									parenleft.arab						
asterisk	asterisk	asterisk	002A		17	*															
asterisk.arab	asterisk.arab	asterisk.arab			18	L															
plus	plus	plus	002B		19	*															
comma	comma	comma	002C		20	*															
hyphen	hyphentwo	uni2010	2010		21	*															
hyphenminus	hyphen	hyphen	002D		22	*															
period	period	period	002E		23	*															
period.test	period.test	period.test			24	*															
slash	slash	slash	002F		25	*															
zero	zero	zero	0030		26	*															
zeroMedium	zero.medium	zero.medium		EN	27	*															
zeroSmall	zero.small	zero.small		EN	28	*															
one	one	one	0031		29	*															
oneMedium	one.medium	one.medium		EN	30	*															
oneSmall	one.small	one.small		EN	31	*															
two	two	two	0032		32	*															
twoMedium	two.medium	two.medium		EN	33	*															
twoSmall	two.small	two.small		EN	34	*															
three	three	three	0033		35	*															
threeMedium	three.medium	three.medium		EN	36	*															
threeSmall	three.small	three.small		EN	37	*															
four	four	four	0034		38	*															
fourMedium	four.medium	four.medium		EN	39	*															
fourSmall	four.small	four.small		EN	40	*															
five	five	five	0035		41	*															
fiveMedium	five.medium	five.medium		EN	42	*															
fiveSmall	five.small	five.small		EN	43	*															
six	six	six	0036		44	*															
sixMedium	six.medium	six.medium		EN	45	*															
sixSmall	six.small	six.small		EN	46	*															
seven	seven	seven	0037		47	*															
sevenMedium	seven.medium	seven.medium		EN	48	*															
sevenSmall	seven.small	seven.small		EN	49	*															
eight	eight	eight	0038		50	*															
eightMedium	eight.medium	eight.medium		EN	51	*															
eightSmall	eight.small	eight.small		EN	52	*															
nine	nine	nine	0039		53	*															
nineMedium	nine.medium	nine.medium		EN	54	*															
nineSmall	nine.small	nine.small		EN	55	*															
colon	colon	colon	003A		56	*															
colon.arab	colon.arab	colon.arab			57	L															
semicolon	semicolon	semicolon	003B		58	*															
less	less	less	003C		59	*															
equal	equal	equal	003D		60	*															
greater	greater	greater	003E		61	*															
question	question	question	003F		62	*															
at	at	at	0040		63	*															
A	A	A	0041		64	*															
B	B	B	0042		65	*															
C	C	C	0043		66	*															
D	D	D	0044		67	*															
E	E	E	0045		68	*															
F	F	F	0046		69	*															
G	G	G	0047		70	*															
H	H	H	0048		71	*															
I	I	I	0049		72	*															
J	J	J	004A		73	*															
K	K	K	004B		74	*															
L	L	L	004C		75	*															
M	M	M	004D		76	*															
N	N	N	004E		77	*															
O	O	O	004F		78	*															
P	P	P	0050		79	*															
Q	Q	Q	0051		80	*															
R	R	R	0052		81	*															
S	S	S	0053		82	*															
T	T	T	0054		83	*															
U	U	U	0055		84	*															
V	V	V	0056		85	*															
W	W	W	0057		86	*															
X	X	X	0058		87	*															
Y	Y	Y	0059		88	*															
Z	Z	Z	005A		89	*															
bracketleft	bracketleft	bracketleft	005B		90	*									bracketright						
bracketright	bracketright	bracketright	005D		91	*									bracketleft						
backslash	backslash	backslash	005C		92	*															
underscore	underscore	underscore	005F		93	*															
a	a	a	0061		94	*															
b	b	b	0062		95	*															
c	c	c	0063		96	*															
d	d	d	0064		97	*															
e	e	e	0065		98	*															
f	f	f	0066		99	*															
g	g	g	0067		100	*															
h	h	h	0068		101	*															
i	i	i	0069		102	*															
j	j	j	006A		103	*															
k	k	k	006B		104	*															
l	l	l	006C		105	*															
m	m	m	006D		106	*															
n	n	n	006E		107	*															
o	o	o	006F		108	*															
p	p	p	0070		109	*															
q	q	q	0071		110	*															
r	r	r	0072		111	*															
s	s	s	0073		112	*															
t	t	t	0074		113	*															
u	u	u	0075		114	*															
v	v	v	0076		115	*															
w	w	w	0077		116	*															
x	x	x	0078		117	*															
y	y	y	0079		118	*															
z	z	z	007A		119	*															
braceleft	braceleft	braceleft	007B		120	*									braceright						
braceright	braceright	braceright	007D		121	*									braceleft						
bar	bar	bar	007C		122	*															
asciitilde	asciitilde	asciitilde	007E		123	*															
nobreakspace	nbspace	uni00A0	00A0		124	*															
exclamdown	exclamdown	exclamdown	00A1		125	*															
cent	cent	cent	00A2		126	*															
sterling	sterling	sterling	00A3		127	*															
currency	currency	currency	00A4		128	*															
yen	yen	yen	00A5		129	*															
brokenbar	brokenbar	brokenbar	00A6		130	*															
section	section	section	00A7		131	*															
copyright	copyright	copyright	00A9		132	*															
registered	registered	registered	00AE		133	*															
ordfeminine	ordfeminine	ordfeminine	00AA		134	*															
guillemotleft	guillemetleft	guillemotleft	00AB		135	*									guillemotright						
logicalnot	logicalnot	logicalnot	00AC		136	*															
sfthyphen	softhyphen	uni00AD	00AD		137	*															
degree	degree	degree	00B0		138	*															
plusminus	plusminus	plusminus	00B1		139	*															
asciicircum	asciicircum	asciicircum	005E		140	*															
micro	micro	uni00B5	00B5		141	*															
paragraph	paragraph	paragraph	00B6		142	*															
periodcentered	periodcentered	periodcentered	00B7		143	*															
ordmasculine	ordmasculine	ordmasculine	00BA		144	*															
guillemotright	guillemetright	guillemotright	00BB		145	*									guillemotleft						
onesuperior	onesuperior	onesuperior	00B9		146	*															
twosuperior	twosuperior	twosuperior	00B2		147	*															
threesuperior	threesuperior	threesuperior	00B3		148	*															
onehalf	onehalf	onehalf	00BD		149	*															
onequarter	onequarter	onequarter	00BC		150	*															
threequarters	threequarters	threequarters	00BE		151	*															
questiondown	questiondown	questiondown	00BF		152	*															
